kind,label,angle_deg,det_rotation,pca_sign_parity,pca_signs,pca_basis_offdiag,d2_shape,sliced_wasserstein,sliced_wasserstein_sign_spread,occupancy_dice,occupancy_resolution,scale_log_ratio
z_sweep,z_265,265.0,1.0,-1,---,3.0831170897810397e-16,0.0012572376974890863,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_270,270.0,1.0,-1,-++,3.7575372732136877e-16,0.0012572376974890839,0.03846190335398334,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_275,275.0,1.0,-1,-++,3.760676864182599e-16,0.0012572376974890843,0.038461903353983334,0.03911966728071886,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_280,280.0,1.0,-1,-++,4.740972365353411e-16,0.0012572376974890815,0.03846190335398334,0.039119667280718855,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_285,285.0,1.0,-1,-++,6.705558330570436e-16,0.0012572376974890787,0.03846190335398334,0.03911966728071888,0.6274509803921569,1.9142807884020079,0.0
z_sweep,z_290,290.0,1.0,-1,-++,1.068170662278138e-15,0.0012572376974890774,2.7495163354574144e-16,0.08091466581294987,1.0,1.9142807884020079,0.0
z_sweep,z_295,295.0,1.0000000000000002,-1,-++,7.420592776840851e-16,0.0012572376974890735,2.318990381847419e-16,0.08091466581294991,1.0,1.9142807884020079,0.0
z_sweep,z_300,300.0,1.0,-1,-++,7.741179319568516e-16,0.0012572376974890726,3.931916017817574e-16,0.08091466581294976,1.0,1.9142807884020079,0.0
z_sweep,z_305,305.0,1.0,1,--+,3.4890966131434565e-16,0.0012572376974890782,1.9045007541504398e-16,0.08091466581294995,1.0,1.9142807884020079,0.0
z_sweep,z_310,310.0,0.9999999999999999,1,--+,1.565127758086365e-14,0.0012572376974890752,3.0277745448460044e-15,0.08091466581294716,1.0,1.9142807884020079,0.0
